tokens,activated_experts,time_us
1,8,100.733
2,8,103.613
2,16,155.655
4,8,104.82
4,16,156.882
4,32,257.84
8,8,105.897
8,16,158.961
8,32,260.462
8,64,469.482
16,8,115.486
16,16,166.258
16,32,268.025
16,64,475.521
16,128,881.378
32,8,136.669
32,16,171.41
32,32,273.988
32,64,483.124
32,128,889.185
64,8,146.365
64,16,183.207
64,32,283.588
64,64,499.05
64,128,909.259
128,8,136.455
128,16,187.793
128,32,334.873
128,64,546.014
128,128,964.63
256,8,224.945
256,16,235.792
256,32,323.022
256,64,554.43
256,128,1004.83
512,8,398.338
512,16,400.14
512,32,419.702
512,64,588.553
512,128,1051.32
1024,8,731.952
1024,16,732.583
1024,32,733.873
1024,64,794.905
1024,128,1338.56
2048,8,1363.62
2048,16,1362.05
2048,32,1362.97
2048,64,1362.35
2048,128,1487.34
